,class_name,class_description,word_count_class_name,class_name_cleaned,label,additional_labels
125,HIIT,"Build long lean muscles, burn fat and increase your cardio strength in this full body workout. Combining High Intensity Interval Training (HIIT) and Pilates principles you will see rapid results! The room is heated to about 95 degrees. Build a stronger core, improve cir­cu­la­tion, improve your posture and increase strength throughout your body. It is low impact, pro­tect­ing your joints and mus­cles from the pound­ing of other exer­cises.",1,hiit,hiit,[]
126,Hot HIIT® with Monique Crous at Hot Yoga Chelsea,"HOT HIIT® is a beat-based training system that combines High Intensity Interval Training (HIIT), muscle toning, and cardio. It is taught in a room heated to approximately 100 degrees. All HOT HIIT® modalities burn fat and create long, lean muscles, with rapid results. HOT HIIT® strengthens your core, improves circulation, and increases flexibility and neuromuscular control. HOT HIIT® is performed on a yoga mat. Low impact modifications are given for each exercise and each class is taught with an emphasis on mindful movement. A consistent HOT HIIT® practice will strengthen both your mind and body.
MONIQUE CROUS, the creator of Hot HIIT®, Is an NASM certified personal trainer with a specialization in corrective exercise. She is also a certified Bikram Yoga instructor. She has been teaching yoga since 2008.",9,hot hiit with monique crous at hot yoga chelsea,hot yoga / bikram,"['hiit', 'yoga']"
127,Yoga HIIT,"Take your mental and physical practice to the next level with our high intensity, low to medium impact, yoga workout. Set to inspiring and energizing music this class offers props to increase muscular load and swift movements to raise your heart rate. An all-around exhilarating experience.",2,yoga hiit,yoga,['hiit']
128,HOT INTERVAL TRAINING (HIIT),"Tabata-Style Cardio

Hot Interval Training (HIIT 60) is a training system that combines High Intensity Interval Training (HIIT), muscle toning and cardio in a heated room. This practice promotes long, lean mus­cle mass while burning fat, with rapid results. It strengthens your core, improves cir­cu­la­tion, and increases flex­i­bil­ity. 

Hot Interval Training (HIIT 60) is per­formed on a yoga mat. All movements are low impact, which protects your joints and mus­cles from the pound­ing of other exer­cises like run­ning and jumping.",4,hot interval train hiit,hot yoga / bikram,['hiit']
129,Hot Yoga,"This is a vinyasa style class practiced in our hot room (up to 105º F and at least 40% humidity). Under the sweltering conditions, muscles become limber more quickly. The heat also promotes cardiovascular and respiratory health, burns more calories, and encourages the body to sweat out impurities.",2,hot yoga,hot yoga / bikram,['yoga']
130,Hot Yoga 26+2,"This practice popularized hot yoga in the West. It consists of 26 traditional yoga poses and 2 breathing exercises done in a very hot (up to 105º F) and humid (40% or more) room. This class systematically moves blood and oxygen throughout the body. It also improves strength, muscle tone, flexibility and endurance.",3,hot yoga 26 2,hot yoga / bikram,['yoga']
131,Hot Yoga,"Hot Yoga is a form of Hatha Yoga conducted in a room heated to approximately 105 degrees and kept at roughly 40% humidity. Either 90, 75, or 60 minute class will work every muscle, tendon, ligament and joint in the body throughout the 26 postures. All levels are welcome! Drink lot of water to hydrate before the class. If you have to eat before the class, make sure that any heavy meal is at least 3 hours before the class.",2,hot yoga,hot yoga / bikram,['yoga']
132,Hot Bodies,"A series of specific exercises executed on the mat. Hot Bodies has all the benefits of a Pilates mat class, adding the element of heat which makes this a high calorie-burning class. You will stretch deeper, get your heart rate up and work your core.
The high temperature increases blood flow and burns calories while sweating out toxins. Accessible to all levels. Prior Pilates experience is recommended.
This class will give you the abdominals of your dreams!",2,hot body,hot yoga / bikram,[]
133,90 min Hot 26,"The original hot yoga - 26 postures and 2 breathing exercises - formally known as Bikram Yoga. The set sequence of therapeutic postures is practiced in a room heated to 100-105 degrees and is designed to be accessible to everyone. Hot 26 is great for a beginner or a more advanced practitioner, allowing you to modify the intensity of each posture to suit you. This class is delivered with a very specific set of instructions , enhancing the meditation aspect of the class. The meditation and movement of this class will leave you feeling grounded and ready to handle life! Hot 26 is a great class to begin your yoga and wellness journey!",4,90 min hot 26,hot yoga / bikram,[]
134,Hot Yoga Flow,"A powerful blend of the healing postures of Hot Yoga with the strengthening flow of Heated Vinyasa. This class balances the entire body by strengthening, opening and flushing all the anatomical systems. The sequence is thoughtfully designed for all levels and with continued practice promises to become a moving meditation. The postures have no end nor does the perfect, ultimate posture exist. Hot Yoga Flow is a yoga practice students can evolve and enjoy throughout their lifetime",3,hot yoga flow,hot yoga / bikram,"['yoga', 'flow']"
135,Bikram Inspired Hot Yoga – 26 + 2 Poses,"Bikram Yoga is known to be the hottest yoga practice at 105 degrees. Bikram made his practice famous amongst the media for its technical structure consisting of 26 poses and strict time limit.
Nourish the temple that houses your soul at our inviting studio. Hot Yoga has been proven to lower your blood pressure, improve posture, reduce and eliminate back and neck pain, reduce insomnia, nourish the skin, improve joint and muscle flexibility and burn extra calories. Not to mention the numerous benefits for your mind. Come meet our local experts and instructors who will lead you on a yogi journey tailored for all inhabitants of the urban jungle.
For those of us who need a challenge this is a class that will not disappoint. Leave behind stress, anxiety, and tiredness. Stretch as high as your mind can take you.",9,bikram inspire hot yoga 26 2 pose,hot yoga / bikram,['yoga']
136,Traditional Hot (26 & 2),"105 degrees. 60 minutes. All levels.

Popularized as the original hot yoga, this class is a set series of 26 postures and 2 breathing exercises. Open to all levels.",5,traditional hot 26 2,hot yoga / bikram,[]
137,Hot Yoga,"Being a Vinyasa flow practice, expect your body to be in motion for most of this class. The room temperature is set at between 95°F - 105°F, opening your skin pores, warming your muscles and cleansing your deeper layers - think of it as whole body detoxify from the inside out! It helps blood circulation as well as strength and flexibility while improving your immunity.",2,hot yoga,hot yoga / bikram,['yoga']
138,HOT 26 & 2 - 60 MIN,"Go With the  Flow
This is our most popular class, and offers practitioners the opportunity to explore a wide range of poses and techniques. Together with the instructor’s guidance, you will be able to challenge yourself and reach all new heights.",7,hot 26 2 60 min,hot yoga / bikram,[]
139,HOT 26 & 2 - 75 MIN,"Mind Over Matter
Ready to roll out your mat and get started with yoga poses? This class has a little bit of everything: meditation, dynamic flow, stretches and restoration. If you are looking for a class that offers active and restful poses, this is the one for you!",7,hot 26 2 75 min,hot yoga / bikram,[]
140,HOT 26 & 2 - 90 MIN,"Body & Mind
This class is a great way to dive into your wellness journey. We often find that those who enroll in our classes are surprised and excited by their own capacities, and through this class you will discover a whole new world that yoga has to offer.",7,hot 26 2 90 min,hot yoga / bikram,[]
141,ORIGINAL HOT YOGA,"This is a series of twenty-six yoga postures and two breathing exercises designed to provide a challenging and effective yoga experience. We offer three different options — 90 minutes, 75 minutes, or 60 minutes — where you will work every muscle, tendon, ligament, joint and internal organ in your body. This class is suitable for all levels.",3,original hot yoga,hot yoga / bikram,['yoga']
142,CLASSIC 26+2 HOT YOGA,"Original hot yoga sequence designed for beginners, perfect for veterans, and valuable for all even if you’ve never practiced yoga before. Our original hot yoga series offers 26 postures and 2 breathing exercises in a heated room. Build your strength, flexibility, focus, and discipline. And get your sweat on! (Heated)",4,classic 26 2 hot yoga,hot yoga / bikram,['yoga']
143,Iyengar,"Based on the principles of B.K.S. Iyengar, this class emphasizes attention to detail and precise alignment of postures. Poses are held longer and the use of props is encouraged to modify poses, if needed. Highly therapeutic, this technique helps to refine your poses while it trains the mind to remain alert, focused and composed.",1,iyengar,iyengar,[]
144,IYENGAR Level II & Up (90min),"After having learned the fundamentals of Iyengar Yoga, this faster paced, mixed level class encourages students to cultivate a consistent, personalized, and informed practice. This class introduces students to a range of poses including forward and back extensions as well as twisting postures and head balance. Level II into Level III deepens the students’ awareness and experience of the more subtle and profound aspects and effects of asana. Having attained a level of stability and ease, students may hold asanas for longer periods of time, learn variations and begin the journey to reflection and meditation in asana. At this level, students are strongly encouraged to practice at home regularly so that their personal understanding of yogic postures begins to fuel their understanding of refinements taught in class.
Class will rotate each week of the month: First week: Standing asanas, Second week: Seated Twists and Forward Bends, Third week: Backbends and Fourth week: Restorative/Pranayama
An established lineage, the Iyengar method allows you to experience and envision longevity in your practice, as your body incrementally builds and refines sensitivity, strength, and stamina from the surface to the core.",6,iyengar level ii up 90min,iyengar,[]
145,In Studio Community Class: Iyengar Style Yoga,"Iyengar style yoga class for all levels. The class will focus on basics of foundational poses to reinvigorate the body and mind.
With Kay’s guidance, students will learn how to modify or adjust poses depending on their needs and abilities. This class is appropriate for any student who wants to understand the fundamentals of Yoga and how to develop sound posture while strengthening and releasing the body. Props are utilized in these classes.",7,in studio community class iyengar style yoga,iyengar,['yoga']
146,Iyengar yoga,"Iyengar yoga is a type of Hatha yoga based in the teachings of B.K.S. Iyengar. It focuses on proper posture helping us to know how to practice in a safe and stable way, preventing injuries.",2,iyengar yoga,iyengar,['yoga']
147,IYENGAR YOGA,"Profound, intelligent, and transformative, Iyengar Yoga is for every age, body type, and fitness level. Iyengar Yoga provides practical tools to create and maintain bodily health and vitality, mental clarity, emotional serenity, and spiritual well-being. Developed by B.K.S. Iyengar during his more than 75 years of teaching, Iyengar Yoga is grounded in the ancient Indian tradition and philosophy of Patanjali’s Yoga Sutras.

Our teachers are rigorously trained and dedicated. Our classes focus on strength and stamina, flexibility and balance, concentration and meditation in action – our method is a pathway to complete alignment.

WHAT IYENGAR YOGA OFFERS
A safe, systematic and intelligent progression of study to develop each student’s skills and abilities, within each class and from class to class.
Certified teachers, highly-qualified and rigorously-trained, with a deep commitment to excellence in teaching.
A highly-developed teaching methodology including clear demonstration of the postures, precise use of language and specific instructions to develop students’ understanding and intelligent action in practice.
Sequencing of the postures that helps students develop strength and flexibility, stamina and concentration, and correct body alignment.
Individual correction and adjustment of students, when necessary.
The use of props such as blankets, blocks, belts and chairs to deepen learning and adjust postures to individual needs.",2,iyengar yoga,iyengar,['yoga']
148,JIVAMUKTI Open (75min or 90min),"Move into advanced postures by injecting the mystical into the physical.  Ancient yogis understood that the body comes into the alchemy of movement when instilled with intention, purpose, and connection. Postures are skillfully introduced and sequenced with increasing intensity, infused with non-dogmatic Yoga philosophy, suggestions from one’s own voice as revealed in the chanting of ancient mantras, as well as the all-elusive sound of one’s own breath. Variations to optional advanced poses are offered so practitioners can work at their own level, moving through arm balances, deep hip openers, twists, chest expanding backbends and inversions.
Through a feeling of integration, greater stamina, and inner poise, expect increased vitality and greater clarity in all modes of self-expression.",5,jivamukti open 75min or 90min,jivamukti,[]
149,JIVAMUKTI Align & Refine (90min),"Take your Jivamukti practice to the next level by expanding your physical and emotional acumen of foundational poses as they connect to advanced postures. Through explanations and demonstrations postures are broken down, allowing you to tap into the anatomical intelligence of your body, bringing the most advanced postures within your reach. The openings in the body will bring to the surface a sensitivity that will be harnessed through a guided meditation followed by deep relaxation.
Prepare to uncover the depth of your perception and discernment, as you explore new horizons in balance, strength and flexibility. Suited for intermediate to advanced practitioners.",5,jivamukti align refine 90min,jivamukti,[]
150,Jivamukti yoga,"Jivamukti Yoga (Jivamukti Yoga) is a practice for calmness and self–confidence. It is a unique combination of physical exercises with spiritual practices, which include mantras, meditation, and the study of sacred texts. It allows you to learn to fully control your spiritual and physical condition.
The One Yoga NYC studio is a place where you can learn to master this practice, find a peace of mind, and give physical activity to your body.
The history of the practice
This style of yoga was developed by Americans David Life and Sharon Gannon in 1984 . The name consists of two words jiva (skt.) – living soul, mukti (skt.)–liberation. It is based on Pattabhi Joise's Ashtanga vinyasa, which Life and Gannon supplemented with new combinations of asanas; that smoothly flow into each other and resemble a dance.
Jivamukti yoga is based on five principles:
Ahimsa - non- harming , the practice of nonviolence towards others, including animals, therefore vegetarianism is its integral component
Bhakti - devotion to God, his knowledge and awareness
Dhyana - meditation, inner concentration to achieve spiritual insight
Nāda - centers on deep inner listening, chanting, and elevated music, an opportunity to learn to consciously hear and gain knowledge for the development of a healthy body and mind. The process of enlightenment begins with listerning.
Shastra - is the study of ancient yogic scriptures, chanting them in Sanskrit.
Sharon Gannon noted in an interview, Jivamukti yoga is a path to enlightenment through compassion for all living beings. This practice has found its fans all over the world. Many celebrities – Uma Thurman, Sarah Jessica Parker, Diane Keaton, Heidi Klum and many others have chosen this particular direction of yoga.
Features of the classes
We recommend Jivamukti Yoga NYC to those who do not want to limit themselves only to physical exercises, and intend to work on further self-development.
Each session includes both performing asanas and studying the scriptures (reading of fragments of ancient texts), chanting mantras, meditation. The exercises are
performed to music. The set of exercises is a smooth sequence of poses combined with breathing and flowing into each other. It is very effective and safe.
Jivamukti yoga practice helps to bring the body and the inner world of a person into harmony, having a restorative effect on the body:
It reveals the physical abilities of the body
Develops balance and increase flexibility, train muscles,
Relieves nervous tension
Helps with headaches, pressure loading, cardiovascular diseases
Relieves pain in the back and neck
Those who are already engaged in Jivamukti Yoga, note that this practice makes it possible to go beyond their own limitations, realizing that all limitations are illusory.
With consistent practice, they improved their ability to control their spiritual and physical condition.",2,jivamukti yoga,jivamukti,['yoga']
151,Live Music Karma Classes,"An affordable, $15 class accompanied by live tunes!  Classes feature local musicians and proceeds support our karma initiatives. Use the “Karma Love” credit to book this class for only $15. Classes can be booked using a membership or class credit but we encourage you to donate. Are you a musician interested in learning more about these Live Music Karma Classes?",4,live music karma class,karma,[]
152,One Love Karma,"Our carefully sequenced, open-level practice places an emphasis on the alignment of breath
and movement to create a moving mediation. All proceeds will be donated to support the monthly organization of choice.",3,one love karma,karma,[]
153,Karma Yoga,"Service is an essential element of spiritual practice. We provide the opportunity to serve the community, and help you understand how to contextualize the service you’re doing in terms of your deeper path. Remote and in-person options available!",2,karma yoga,karma,['yoga']
154,Baby and me,"Stretch, bond, and breathe with your baby in this special yoga series designed for new mothers and infants (8 weeks to almost walking). Meet other moms and babies while you strengthen and support post-partum and sleep deprived bodies with specifically chosen asanas and sequences.
Every class will devote time for gentle hands-on yoga and massage for babies; aiding in their digestion and promoting the sleep-wake cycle. Bonding postures and playful songs are also explored. Dress comfortably and bring a receiving blanket for your little-one.",3,baby and me,kids / family,[]
155,Toddler and me,"The downward facing dog says “woof woof”! Play yoga with your toddler in this series for new walkers through 3s. Stories, puppets, music and song all bring yoga poses to life as little ones strengthen their growing bodies. Explore basic anatomy, focusing techniques, and the art of sharing, in this structured and supportive class. Healthy habits begin early in life, so take a deep breath together and discover that the ‘twos’ are far from ‘ terrible’! Every toddler needs an adult yoga buddy to participate. Both toddlers and adults should dress to move.",3,toddler and me,kids / family,[]
156,Kids Yoga,"Kids Yoga is a class that allows kids to explore their bodies in a different way. Learning poses, meditating and games. We recommend ages 4 through 12.",2,kid yoga,yoga,[]
157,Yoga Kids,"This Class provides children with simple and fun strategies for yoga and mindfulness which focuses on the development of emotional wellbeing, and mental and physical health.  
This Class offers;
Breathing for kids 
Yoga postures for kids
Meditation for kids
Mindfulness for kids
Positive affirmations for kids
Mindful Values for kids
This program can help children; 
Develop a strong sense of self awareness 
Develop a positive self-image 
Become emotionally self-aware. 
Build skills in emotional regulation 
Learn to respect his body, physical space and that of others. 
Have awareness of his emotional boundaries, and those of others 
Understand and celebrate diversity 
Learn how to use his breath and body to manage difficult feelings and emotions 
Build trust in relationships though group mindfulness exercises 
Learn how to communicate effectively with other ",2,yoga kid,yoga,[]
158,Kids Yoga,"Kids Yoga - our current kids yoga class is geared toward the 7 to 11 age group.  Kids yoga improves focus and school performance, and develops better posture, physical agility, strength and flexibility.",2,kid yoga,yoga,[]
159,KIDS YOGA,"Kids Yoga is a great activity to get children off of electronic devices. We encourage them to tune into something deeper rather than trying to tune them out to a digital screen in front of their faces.Kids Yoga can help children healthily deal with their emotions. Emotions are a new thing for kids and they are just beginning to learn about them. Many times, their emotions are how they express themselves, so they need to begin to understand the difference between throwing a temper tantrum when something doesn’t go their way. They must learn to navigate their upset emotions through more rational communication. This can greatly help kids in their social development with other kids.",2,kid yoga,yoga,[]
160,Mommy/Daddy & Me Stretch & Play (ages 1-3 yrs old),"Bring your little toddler onto the mat with you for this fun and highly interactive yoga class! You'll incorporate a bit of yoga, stretch, music & playtime to move and bond together in the studio. Ages 1-3 years old recommended. ",10,mommy daddy me stretch play age 1 3 yrs old,kids / family,[]
161,Sunday Funday Family Yoga,"Come join us in fun interactive class as you bend, balance, twist, turn and fly together with your young ones all while having fun in a safe community built space. This class will combine traditional yoga poses with gymnastic elements, working on shifting our body weight to help find balance in inversions as well as partner poses. We will also be incorporating breath work and core building exercise to maximize strength, feeling grounded both physically and mentally and best of all, you'll have loads of fun!",4,sunday funday family yoga,kids / family,['yoga']
162,Kundalini Yoga,"Kundalini Yoga is a science of the mind and body - to elevate the spirit of which has no boundaries and holds no discriminations. It is universal and nondenominational. Known as the Yoga of Awareness, its focus is on self-awareness and delivering an experience of your highest consciousness. Classes consists of Asana (movement), Mantra & Chanting (sound current), Pranayam (breathwork), and meditation to relax and heal your mind and body.",2,kundalini yoga,kundalini,['yoga']
163,Kundalini Yoga,"Kundalini yoga is a combination of breath, movement, and sound. It derives from the Sanskrit word kundal, which translates to “coiled energy” or ""coiled snake"". The idea is that we all have energy gathered at the base of our spine and, through the practice of Kundalini, we bring that energy up our spine through the chakra system and out the crown of our head.
In Kundalini, physical postures (asana) sequences are called kriyas. Each kriya is a preset series of poses done with a specific breathing technique, blocking energy flow to certain areas of the body - bandhas - to intensify the effects of the pose.
Kundalini practitioners usually wear white, as the color is thought to expand our aura, not only providing more protection from the harmful energy surrounding us, but also by projecting positive energy out into the world.",2,kundalini yoga,kundalini,['yoga']
164,Kundalini Yoga,"Kundalini Yoga is a combination of movement, breath (pranayama), meditation, and chanting. Its goal is not only to make the body stronger and more energetic but also to increase your level of self-awareness and consciousness.

The Kundalini is untapped energy, coiled at the base of the spine.1 This energy can be drawn up through the body, awakening each of the seven chakras. Full enlightenment occurs when this energy reaches the crown chakra at the top of the head.
While some people practice yoga solely for physical exercise, Kundalini Yoga is more of a spiritual practice. It is meant to quiet your mind while, at the same time, opening your chakras so your energy can freely flow throughout your body.

Life is filled with vibrant energy—everything and everyone we interact with is energy. Kundalini Yoga, which awakens you to the power of internal energy, led us to an expansive spiritual awakening within that touched every aspect of our lives. We’re now on a mission to share this ancient yoga practice with others.",2,kundalini yoga,kundalini,['yoga']
165,Massage,"The benefits of massage cannot be overstated! Massage has been proven to increase energy, boost immunity, decrease anxiety and reduce stress. We ensure results-oriented treatment in every massage service we offer. We specialize in in Swedish, Deep Tissue, and Neuromuscular Release Technique (NRT), and each massage is customized to cater directly to the client’s needs and requests.",1,massage,massage,[]
166,Massage,,1,massage,massage,[]
167,Cacao Ceremony,"Authentic Meditational Movements, repetitive thoughts, ideas and promptings from our inner-self (Core Awareness) as indicators of the next steps we are guided to apply as well as offering solutions in the form of sequence, form, and feeling. New spiritual activations and extra-sensory experiences are changing the way we can view ourselves and the world around us. By allowing our organic gifts to flourish through dream, study, prayer, meditation and ritual dance.",2,cacao ceremony,undefined,[]
168,Meditation,"BODY & BRAIN PRACTICE OFFERS POWERFUL
GUIDED MEDITATION TECHNIQUES TO HELP YOU
DEVELOP THE SENSE OF ENERGY IN YOUR BODY
AND PEACE IN YOUR MIND.
We offer clear and dynamic meditation techniques that help you develop the ability to relax and focus on energy sensations, bringing your mind naturally into a state of deep peace and centeredness.
BENEFITS OF MEDITATION
Meditation is the practice of being present and directing your awareness where you want instead of being controlled by past memories and habits. Meditation can be a rewarding way to get to know yourself better and to develop mental clarity and power to achieve your goals.
MEDITATION CAN ENHANCE YOUR
MIND-BODY PRACTICE THROUGH
1 Observing yourself comfortably with peace of mind.
2 Releasing your stress, worries, and negativity.
3 Connecting your mind and body together for energy and power
4 Stimulating your creativity and focus
5 Enjoying more insight and optimism
6 Relaxing and sleeping better",1,meditation,meditation,[]
169,MEDITATION,"ed 30 minutes of centering to seize the day? Our inspiring breathwork and meditation session, for newbies and experienced practitioners alike, will take you on a beautiful exploration of the mind-body connection, while setting you on a more mindful path as you navigate the day’s many moments. Come as you are—in work clothes or comfies—and enjoy balancing breathwork, progressive body scans, silent mantra meditation, and guided mindfulness journeys, all designed to prime you for seizing your day with clarity and flow. OPEN LEVEL.",1,meditation,meditation,[]
170,Bansuri Flute Meditation,The Indian Flute “Bansuri” is one of the most melodious instruments and many people play flute music while doing meditation especially. The sound of the flute makes the meditation session vibrate on a different level and improves the concentration power of the listener and also enhances the experience of meditation. Flute music is recommended by experts due to its soulful tone . Encouraged for all levels.,3,bansuri flute meditation,meditation,[]
171,Guided Meditation,"Join us and allow yourself to be guided through a short 10 minute meditation. Learn how to arrange your posture, set a motivation, be with your breath, and dedicate your practice. No experience is necessary. This class is donation based, with a suggested donation of $5. Kala Yoga will donate 25% of all meditation revenue to the Sakya Center. ",2,guide meditation,meditation,[]
172,Move to Meditate,"Mid-week Move to Meditate class unifies two parts of yogic practice: Asana (physical postures - familiar and friendly yogic postures anyone can meet no matter where they find themselves in their journey) to open and prepare both heart and body, and Dhyana (seated meditation). We begin each class with setting the theme, which informs both the movement and meditation. This classroom meets in a circle so as to exercise uninterrupted energetic flow. 
",3,move to meditate,meditation,[]
173,Meditation,"Class will include warm up movements and breathing exercises, followed by a 20-minute seated meditation. Offered by donations collected at the door.",1,meditation,meditation,[]
174,Gentle Flow & Meditation,"A By Donation Gentle Flow & Meditation Class focused on musical meditation, stretching and fascia release exercises. ",4,gentle flow meditation,flow,['meditation']
175,Meditation,"Cultivate awareness of your body, your mind, and your natural state of peace and harmony. Led by teachers skilled in anchoring attention to help you gain the benefits of more presence.",1,meditation,meditation,[]
176,Meditation,"Our meditation sessions are guided by a teacher and are suitable for beginners and long-time practitioners. You can sit or lie down in a way that is comfortable for your body. The techniques may vary from session to session, and will offer you tools for creating more ease and joy in your daily life",1,meditation,meditation,[]
177,Mindful Meditation,"Awareness practices to cultivate equanimity, compassion, and ultimately awakening to your Divine Nature.",2,mindful meditation,meditation,[]
178,Mindfulness Meditation,"It's not unusual to wake with a mind full of activity - deadlines, people to meet, kids to feed, places to go; and have that mental chatter follow us throughout the entire day - without taking a pause or a moment to come to our senses. This drop-in guided meditation session in the middle of your day can help create some space, as well as act as a reset before meeting the remainder of the day ahead.
The group is for everyone - whether it’s your first time sitting or you’ve a regular practice. The session features (approx.) 15 minutes guided mindfulness-based meditation with a brief opportunity for inquiry and to connect with the group.",2,mindfulness meditation,meditation,[]
179,Mindfulness,"What is Mindfulness?
Mindfulness practices are an approach that helps develop mindfulness in a person's life.
Mindfulness is a deliberate, conscious and non-judgmental presence in life here and now.
The practice helps to reduce stress levels and develop neuroplasticity in the brain. We literally wake up and get out of the “autopilot” mode and habitual patterns of behavior.
How does meditation work in the studio?
There are many types of meditation, so we decided to make an informed choice for you. Using the recommendations of leading experts in this field, as well as psychologists, we have selected the most comfortable areas that will suit every person. In one case, it will be relaxation to the music for meditation, and in the other, it will be a complete immersion in your own deep thoughts and experiences, the search for answers.",1,mindfulness,mindfulness,[]
180,Guided Meditation,"Guided meditation focuses on stillness, breathing exercises and chakra energy cleansing. The purpose is to achieve mental, emotional, and physical well-being. To help promote stress relief, calmness and clarity. The session can be offered either seated on a meditation cushion or lying down on a massage table.  Our therapists may offer our handmade essential oil blends for  aromatherapy meditation.",2,guide meditation,meditation,[]
181,CHAKRA MEDITATION,Seeks to clear blocked chakras and harness the power of seven energy centers located throughout the body.  They can be used for everything from promoting calm and relaxation to encouraging spiritual awakening.,2,chakra meditation,meditation,[]
182,"
Sound Healing ",Full body flow combining movement and breath followed by a long restorative meditation guided by healing vibration of sound.,2,sound heal,undefined,[]
183,Sound Healing Meditation,"Singing bowls, chimes and more Sound Healing Meditation is where one is immersed in the sounds to provide healing and relaxation. The sounds of a singing bowl offer respite from the everyday churning of the mind, and so does meditation and yoga. Encouraged if your seeking relaxation, all levels welcomed.",3,sound heal meditation,meditation,[]
184,MEDITATION,"beU’s meditation center group sessions located in downtown New York City can teach you how to observe the inner workings of your being. You do not have to force your thoughts to stop. You sink into quiet and stillness as you turn your focus inward.There are many meditation techniques, and it is often performed in a seated position. There are a variety of ways you can sit, and the sitting position can be modified for any bodily needs. You can sit on cushions, little benches, or even a chair.",1,meditation,meditation,[]
185,Sound Bath Meditation,"Experience the power of sound vibrations, the resonance of which transports you into a deep state of relaxation where your physical mental, and emotional self can rest and rejuvenate.

Sound bath is a practice used in sound therapy to find a state of relaxation and have a meditative experience by immersing in various sounds of instruments and their resonance and vibrations have healing and relaxing power.

It’s like you ""bathing"" in sounds from the instruments and their theta brainwave frequencies reduce stress, improve mood and balance mental physical, and emotional states.",3,sound bath meditation,meditation,[]
186,MOVE & MEDITATE - IN PERSON,"Start your week off with a short, slow haha style, movement practice that ends with a 20-30 minute seated or reclined meditation. Deepen your practice and set yourself up for a successful work week by grounding and centering yourself. Open to all levels.",6,move meditate in person,meditation,[]
187,Afterwork Sound Bowl Meditation,"Renew your energy and rhythm with this powerful 30 minute meditation as you focus and relax to the sound of our colorful crystal singing bowls. This is great to do both before a class or recreating your sense of alignment after a full day of work.
 
Each of our bowls is tuned to its own frequency to match each of your seven chakras on a 432Hz scale.
We begin with your root and then work your way up, as we open up your nadis, activating, cleansing, renewing and creating an overall balance throughout your body, mind and spirit. You will leave feeling relaxed, calm and at the same time, energetic and focused. Open to all levels.",4,afterwork sound bowl meditation,meditation,[]
188,move and meditate,"75 MINUTES. The techniques of yoga can help us shift from one state to another in body, mind, and spirit. In this class we explore multiple limbs of yoga by combining a variety of physical, breathing, and meditation practices to facilitate transformation on multiple layers.",3,move and meditate,meditation,[]
189,Meditation,"GOM is just one of the Tibetan words for meditation, and it means “to make a habit of”. Think of the mind like a piece of earth. The more water moves over it, the deeper the canyon. Our minds just need time and effort, and we can change practically anything. We offer 13 authentic Tibetan Buddhist meditations to cultivate compassion, happiness, insight, confidence and connection.",1,meditation,meditation,[]
190,First Fridays Yoga Nidra,"This special, once-monthly class is the perfect way to wind down at the end of the week. Yoga Nidra, or Yogic Sleep, is designed to reprogram the accumulation of tension in the physical body and in your subconscious mind. While you’re not actually sleeping, you will embark on a journey into the deepest levels of release.
As a practice, Yoga Nidra is a mix of systematic relaxation, meditation, breathwork, and guided imagery to help your physical body, energetic system (nervous system), and mind come to a completely rested state - one that's often not even experienced while we sleep. Practicing this in community is even more powerful, and we invite all levels of students to attend. Prepare to float out of class, and carry this relaxed energy with you into the rest of the weekend.",4,first fridays yoga nidra,yoga,['nidra']
191,Yoga Nidra,"Yoga nidra, or yogic sleep as it is commonly known, is an immensely powerful meditation & relaxation technique, and one of the easiest yoga practices to develop and maintain. Students lay down and rest comfortably in a reclined posture (savasana) while the teacher guides you through an entire body relaxation and journey of the consciousness that will help you transform. You'll leave with a sense of wholeness and deep relaxation.",2,yoga nidra,yoga,['nidra']
192,Nidra,"Dharma Yoga Nidra Provides Instant, Pure Energy
This Energy Is 100% Natural
One Session Equals 1-3 Hours of Deep Sleep, One Hour of Meditation or Two Hours of Yogic Exercises (Asana), But Is Superior to Them All
Go Beyond Ordinary Waking Consciousness
Your Thoughts Become Powerful and Creative
Calms the Mind
Tap into the Boundless Joy That Is Already Within
No Special Clothes, Props or Mats Are Needed To Practice",1,nidra,nidra,[]
193,Restorative & Yoga Nidra,"A class combining Restorative yoga (postures practiced on the ground support by blankets, yoga blocks, strap and bolsters) and yoga nidra is a fully guided practice in savasana (corpse pose). You will be led through a series of systematic body, breath and visualization practices to a state that feels like ‘dreaming awake’. The body and mind are in deep rest, but your awareness remains aware. While in this profoundly peaceful state, not only can we experience ourselves in deep rest, we're able to connect our hearts desire and intention for our lives. Expect to leave with a feeling calm, rejuvenated and connected.",4,restorative yoga nidra,restore,"['yoga', 'nidra']"
194,RESTORATIVE YOGA & YOGA NIDRA- IN-PERSON,"In this gentle class you will truly learn what it is to relax. This class is practiced solely on the mat in restful and reclined positions using blankets, bolsters and blocks to support your body and release all tension. It is the perfect way to relieve stress and connect with the self. No yoga experience required.",6,restorative yoga yoga nidra in person,restore,"['yoga', 'yoga', 'nidra']"
