,class_name,class_description,class_style,additional_class_style_info,word_count,unique_word_count,cleaned_text,Balance and Alignment,Stress Relief/Breath Techniques,Deep Relaxation/Mind Practice,Stretch and Release,Core and Strength,dominant_topic,dominant_topic_theme
108,Sunday Flow & Gratitude Time,"This session is perfect for a relaxed Sunday.
Join our vibrant and energetic session to welcome a new day and be grateful for all good things while we take a breath and a brake from weekly routine

This class is vinyasa flow based , hatha and restorative are also part of a costumized class which includes affirmations and mindset

You will leave with a sense of joy, mindfulness and gratitude while being part of our lovely community gathering together on a sunny Sunday at heart . (Tea or coffee usually shared at studio after this class )",flow,,97,74,session perfect relax sunday join vibrant energetic session grateful good things breath brake weekly routine base restorative part costumized include affirmations mindset leave sense joy mindfulness gratitude part lovely community gather together sunny sunday heart tea coffee usually share studio,0.24665835,0.015917785,0.6055013,0.015696542,0.116226055,2,Deep Relaxation/Mind Practice
109,flow 45,"All the components of a Flow class so you can get your fix in a lil' less time. Stay cool, calm, and collected for the rest of your day. AND all Flow 45 classes are by donation. Come get what you need at any price point. ",flow,,46,39,components fix lil less stay cool calm collect rest 45 donation come need price point,0.040608946,0.40696567,0.47089162,0.041378032,0.04015577,2,Deep Relaxation/Mind Practice
110,Kripalu Flow,"Inspired by a traditional Kripalu approach. We begin with meditation and breath, followed by an energizing physical practice. The asana style blends Vinyasa and Hatha, combining flowing transitions with longer-held poses. A class that gracefully balances the physical and mental aspects of the practice. Open to all levels.",flow,kripalu,48,41,inspire traditional approach breath follow energize physical blend combine transition longer hold gracefully balance physical mental aspects,0.32889825,0.18347204,0.4605254,0.013508005,0.01359629,2,Deep Relaxation/Mind Practice
111,Hatha Yoga,The Hatha style asks us to explore each pose in a deeper manner - holding for several breaths. We invite students to consider alignment and become more in tune with the meditative and energetic nature of each pose to cultivate physical and mental stamina. Open to all levels.,hatha,,48,40,ask us explore deeper manner hold several breaths invite consider alignment become tune meditative energetic nature cultivate physical mental stamina,0.6727585,0.018687578,0.15197746,0.018514454,0.13806202,0,Balance and Alignment
112,Hatha Yoga,"The foundation of many forms of Yoga, Hatha Yoga is the first and most important step for understanding asanas and the body. This traditional form of yoga will help heal the body and mind.",hatha,,34,28,foundation form first important step understand asanas body traditional form help heal body mind,0.023188071,0.022561643,0.9085785,0.02268551,0.022986209,2,Deep Relaxation/Mind Practice
113,Hatha,"Hatha Yoga can be classified as a foundational practice. Hatha is great at building strength and deepening flexibility, while understanding the depth, purpose and alignment behind each posture. Hatha Yoga uses the same poses as Vinyasa but holds poses longer. ",hatha,,40,33,classify foundational great build strength deepen flexibility understand depth purpose alignment behind use hold longer,0.018821537,0.018291831,0.018239198,0.92565334,0.018994095,3,Stretch and Release
114,Hatha Flow,"The practice of Hatha yoga asks us to slow ourselves; slow our bodies, our brains, our emotional centers. In Hatha Flow, we use our practice to unearth a deeper truth and deliberately step into the thoughts and feelings that our physical sensations inspire. Hatha Flow links breath to movement with a focus on basic alignment, creative sequencing and embodied awareness. Focused yet fun, piercing and playful, challenging and changing, Hatha Flow will help students create a solid foundation upon which they can witness their practice flourish. ",hatha,flow,86,67,ask us slow slow body brain emotional center use unearth deeper truth deliberately step thoughts feel physical sensations inspire link breath focus basic alignment creative sequence embody awareness focus yet fun pierce playful challenge change help create solid foundation upon witness flourish,0.10984419,0.1495949,0.5365173,0.19511814,0.008925445,2,Deep Relaxation/Mind Practice
115,Hatha Flow,"Hatha yoga class focuses on breathwork, postures, relaxation, and meditation. This is an excellent class to learn the foundations of yoga in a safe and supportive environment. Postures are held for an extended period to ensure proper alignment and build strength and flexibility.

Hatha Yoga class combines postures (asanas) with conscious breathing (Pranayama) practiced slowly with longer, deliberate posture holds. Practitioners can expect to use their intention and breath to find deeper physical and mental balance. This class is great for beginners or for those who are recovering from injuries.",hatha,flow,90,70,focus breathwork relaxation excellent foundations safe supportive environment hold extend period ensure proper alignment build strength flexibility combine asanas conscious breathe slowly longer deliberate hold practitioners expect use intention breath find deeper physical mental balance great beginners recover injuries,0.57904714,0.18938197,0.007656585,0.21626061,0.0076536834,0,Balance and Alignment
116,Integral Hatha Yoga Heated,"A seamless blend of the spiritual and physical, each Integral Yoga Hatha class begins with chanting to center the mind, moves through asana sequences essential for full-body health, and concludes with relaxation, breath work, and meditation.",hatha,hot yoga / bikram,36,32,seamless blend spiritual physical integral chant center mind sequence essential full body health conclude relaxation breath,0.18775123,0.15905072,0.61609906,0.018350117,0.018748853,2,Deep Relaxation/Mind Practice
117,Open Level Hatha Yoga,"Enjoy this gentle traditional Hatha Yoga class. We will focus on increasing strength and flexibility through yoga postures along with, yogic breathing exercises and meditation for stress relief and peace of mind.",hatha,,32,30,enjoy gentle traditional focus increase strength flexibility along yogic breathe stress relief peace mind,0.01832444,0.60074383,0.01859487,0.018855134,0.3434817,1,Stress Relief/Breath Techniques
118,Hatha Yoga & Meditation,"Hatha Yoga, (in Sanskrit “Discipline of force”) is school of yoga that stresses mastery of the body as a way of attaining a spiritual state in which the mind is withdrawn from external objects. This practice involves asanas (postures), pranayama (breathing exercises) & meditation.",hatha,meditation,44,38,sanskrit discipline force school stress mastery body way attain spiritual state mind withdraw external object involve asanas breathe,0.025015559,0.8993379,0.025462598,0.025124036,0.025059927,1,Stress Relief/Breath Techniques
119,Pure Hatha,Hatha Vinyasa at a slower pace (see above for Hatha Vinyasa).,hatha,,11,10,slower pace see,0.07126911,0.067381084,0.06672348,0.72780406,0.06682226,3,Stretch and Release
120,HATHA YOGA,"Hatha yoga is the science of using postures to reveal the connection between the body and breath. These postures, called asanas, allow you to understand your body on a deeper level. Hatha yoga benefits include helping people come into a deeper natural balance of health and wellness.beU Hatha yoga flow classes range from basics, to more advanced, we welcome all levels from beginners to master yogis.",hatha,,66,51,science use reveal connection body breath call asanas allow understand body deeper benefit include help come deeper natural balance health wellness beu range basics advance beginners master yogis,0.49714032,0.012101422,0.46663266,0.012008264,0.012117288,0,Balance and Alignment
121,Hatha Vinyasa,"Achieve strength and balance. Combine the alignment and foundation approach of Hatha with the intensity and power of vinyasa. Expect an uplifting, sweaty and strong class, deep breath practices and meditation. Strong and soulful.",hatha,vinyasa,34,27,achieve strength balance combine alignment foundation approach intensity power expect uplift sweaty strong deep breath strong soulful,0.5247197,0.016778123,0.13058543,0.016986752,0.31093,0,Balance and Alignment
122,HIIT + Weights,"Everything you love about our HIIT class but with even greater results with the use of hand weights to build strength. HIIT stands for High Intensity Interval Training. It combines muscle toning and cardio in a room heated to around 95 degrees. This class is low impact, pro­tect­ing your joints and mus­cles from the pound­ing of other exer­cises like run­ning and jumping. Get ready for a full body workout.",training,,69,59,everything love hiit greater result use hand weight build strength hiit stand high intensity interval train combine muscle tone cardio heat around 95 degrees low impact pro tect ing joint mus cles pound ing exer cises like run ning jump ready full body workout,0.0097373715,0.009593513,0.009566761,0.009574776,0.9615275,4,Core and Strength
123,HIIT,"Build long lean muscles, burn fat and increase your cardio strength in this full body workout. Combining High Intensity Interval Training (HIIT) and Pilates principles you will see rapid results! The room is heated to about 95 degrees. Build a stronger core, improve cir­cu­la­tion, improve your posture and increase strength throughout your body. It is low impact, pro­tect­ing your joints and mus­cles from the pound­ing of other exer­cises.",training,,68,57,build long lean muscle burn fat increase cardio strength full body workout combine high intensity interval train hiit pilates principles see rapid result heat 95 degrees build stronger core improve cir cu la tion improve increase strength throughout body low impact pro tect ing joint mus cles pound ing exer cises,0.008087371,0.008042205,0.008116539,0.008013346,0.96774054,4,Core and Strength
124,Hot HIIT® with Monique Crous at Hot Yoga Chelsea,"HOT HIIT® is a beat-based training system that combines High Intensity Interval Training (HIIT), muscle toning, and cardio. It is taught in a room heated to approximately 100 degrees. All HOT HIIT® modalities burn fat and create long, lean muscles, with rapid results. HOT HIIT® strengthens your core, improves circulation, and increases flexibility and neuromuscular control. HOT HIIT® is performed on a yoga mat. Low impact modifications are given for each exercise and each class is taught with an emphasis on mindful movement. A consistent HOT HIIT® practice will strengthen both your mind and body.
MONIQUE CROUS, the creator of Hot HIIT®, Is an NASM certified personal trainer with a specialization in corrective exercise. She is also a certified Bikram Yoga instructor. She has been teaching yoga since 2008.",training,hot yoga / bikram,129,97,hiit beat base train combine high intensity interval train hiit muscle tone cardio heat approximately 100 degrees hiit modalities burn fat create long lean muscle rapid result hiit strengthen core improve circulation increase flexibility neuromuscular control hiit perform mat low impact modifications give emphasis mindful consistent hiit strengthen mind body monique crous creator hiit nasm certify personal trainer specialization corrective certify instructor since 2008,0.0074183145,0.007310847,0.0072835116,0.07273066,0.9052567,4,Core and Strength
125,Yoga HIIT,"Take your mental and physical practice to the next level with our high intensity, low to medium impact, yoga workout. Set to inspiring and energizing music this class offers props to increase muscular load and swift movements to raise your heart rate. An all-around exhilarating experience.",training,,46,39,mental physical next high intensity low medium impact workout inspire energize music prop increase muscular load swift movements raise heart rate around exhilarate experience,0.23877615,0.20501012,0.011970265,0.09495731,0.44928613,4,Core and Strength
126,HOT INTERVAL TRAINING (HIIT),"Tabata-Style Cardio

Hot Interval Training (HIIT 60) is a training system that combines High Intensity Interval Training (HIIT), muscle toning and cardio in a heated room. This practice promotes long, lean mus­cle mass while burning fat, with rapid results. It strengthens your core, improves cir­cu­la­tion, and increases flex­i­bil­ity. 

Hot Interval Training (HIIT 60) is per­formed on a yoga mat. All movements are low impact, which protects your joints and mus­cles from the pound­ing of other exer­cises like run­ning and jumping.",training,hot yoga / bikram,80,66,tabata cardio interval train hiit 60 train combine high intensity interval train hiit muscle tone cardio heat promote long lean mus cle mass burn fat rapid result strengthen core improve cir cu la tion increase flex bil ity interval train hiit 60 per form mat movements low impact protect joint mus cles pound ing exer cises like run ning jump,0.008089944,0.008046166,0.008146601,0.008034746,0.96768254,4,Core and Strength
127,Hot Yoga,"This is a vinyasa style class practiced in our hot room (up to 105º F and at least 40% humidity). Under the sweltering conditions, muscles become limber more quickly. The heat also promotes cardiovascular and respiratory health, burns more calories, and encourages the body to sweat out impurities.",hot yoga / bikram,,48,43,105 f least 40 humidity swelter condition muscle become limber quickly heat promote cardiovascular respiratory health burn calories encourage body sweat impurities,0.028987234,0.028572192,0.028619383,0.028602405,0.8852188,4,Core and Strength
128,Hot Yoga 26+2,"This practice popularized hot yoga in the West. It consists of 26 traditional yoga poses and 2 breathing exercises done in a very hot (up to 105º F) and humid (40% or more) room. This class systematically moves blood and oxygen throughout the body. It also improves strength, muscle tone, flexibility and endurance.",hot yoga / bikram,,53,44,popularize west consist 26 traditional 2 breathe 105 f humid 40 systematically blood oxygen throughout body improve strength muscle tone flexibility endurance,0.02024002,0.02043614,0.020095922,0.020047328,0.9191806,4,Core and Strength
129,Hot Yoga,"Hot Yoga is a form of Hatha Yoga conducted in a room heated to approximately 105 degrees and kept at roughly 40% humidity. Either 90, 75, or 60 minute class will work every muscle, tendon, ligament and joint in the body throughout the 26 postures. All levels are welcome! Drink lot of water to hydrate before the class. If you have to eat before the class, make sure that any heavy meal is at least 3 hours before the class.",hot yoga / bikram,,80,64,form conduct heat approximately 105 degrees keep roughly 40 humidity either 90 75 60 muscle tendon ligament joint body throughout 26 drink lot water hydrate eat make sure heavy meal least 3 hours,0.020486303,0.020273797,0.020145869,0.020100342,0.9189937,4,Core and Strength
130,Hot Bodies,"A series of specific exercises executed on the mat. Hot Bodies has all the benefits of a Pilates mat class, adding the element of heat which makes this a high calorie-burning class. You will stretch deeper, get your heart rate up and work your core.
The high temperature increases blood flow and burns calories while sweating out toxins. Accessible to all levels. Prior Pilates experience is recommended.
This class will give you the abdominals of your dreams!",hot yoga / bikram,,77,63,specific execute mat body benefit pilates mat add element heat make high calorie burn stretch deeper heart rate core high temperature increase blood burn calories sweat toxins accessible prior pilates experience recommend give abdominals dream,0.2667175,0.010325919,0.01005082,0.010199483,0.70270634,4,Core and Strength
131,90 min Hot 26,"The original hot yoga - 26 postures and 2 breathing exercises - formally known as Bikram Yoga. The set sequence of therapeutic postures is practiced in a room heated to 100-105 degrees and is designed to be accessible to everyone. Hot 26 is great for a beginner or a more advanced practitioner, allowing you to modify the intensity of each posture to suit you. This class is delivered with a very specific set of instructions , enhancing the meditation aspect of the class. The meditation and movement of this class will leave you feeling grounded and ready to handle life! Hot 26 is a great class to begin your yoga and wellness journey!",hot yoga / bikram,,113,75,original 26 2 breathe formally know sequence therapeutic heat 100 105 degrees design accessible everyone 26 great advance allow modify intensity suit deliver specific instructions enhance aspect leave feel ground ready handle life 26 great wellness journey,0.49097666,0.16999394,0.15750542,0.010919248,0.17060469,0,Balance and Alignment
132,Hot Yoga Flow,"A powerful blend of the healing postures of Hot Yoga with the strengthening flow of Heated Vinyasa. This class balances the entire body by strengthening, opening and flushing all the anatomical systems. The sequence is thoughtfully designed for all levels and with continued practice promises to become a moving meditation. The postures have no end nor does the perfect, ultimate posture exist. Hot Yoga Flow is a yoga practice students can evolve and enjoy throughout their lifetime",hot yoga / bikram,flow,77,60,powerful blend heal strengthen heat balance entire body strengthen flush anatomical systems sequence thoughtfully design continue promise become end perfect ultimate exist evolve enjoy throughout lifetime,0.0129852295,0.0127625745,0.25554922,0.012681914,0.7060211,4,Core and Strength
133,Bikram Inspired Hot Yoga – 26 + 2 Poses,"Bikram Yoga is known to be the hottest yoga practice at 105 degrees. Bikram made his practice famous amongst the media for its technical structure consisting of 26 poses and strict time limit.
Nourish the temple that houses your soul at our inviting studio. Hot Yoga has been proven to lower your blood pressure, improve posture, reduce and eliminate back and neck pain, reduce insomnia, nourish the skin, improve joint and muscle flexibility and burn extra calories. Not to mention the numerous benefits for your mind. Come meet our local experts and instructors who will lead you on a yogi journey tailored for all inhabitants of the urban jungle.
For those of us who need a challenge this is a class that will not disappoint. Leave behind stress, anxiety, and tiredness. Stretch as high as your mind can take you.",hot yoga / bikram,,140,106,know hottest 105 degrees make famous amongst media technical structure consist 26 strict limit nourish temple house soul invite studio prove lower blood pressure improve reduce eliminate back neck pain reduce insomnia nourish skin improve joint muscle flexibility burn extra calories mention numerous benefit mind come meet local experts instructors lead yogi journey tailor inhabitants urban jungle us need challenge disappoint leave behind stress anxiety tiredness stretch high mind,0.007738133,0.47865453,0.008024056,0.007889097,0.4976942,4,Core and Strength
134,Traditional Hot (26 & 2),"105 degrees. 60 minutes. All levels.

Popularized as the original hot yoga, this class is a set series of 26 postures and 2 breathing exercises. Open to all levels.",hot yoga / bikram,,29,28,105 degrees 60 minutes popularize original 26 2 breathe,0.59338576,0.30562904,0.033335235,0.033528797,0.034121186,0,Balance and Alignment
135,Hot Yoga,"Being a Vinyasa flow practice, expect your body to be in motion for most of this class. The room temperature is set at between 95°F - 105°F, opening your skin pores, warming your muscles and cleansing your deeper layers - think of it as whole body detoxify from the inside out! It helps blood circulation as well as strength and flexibility while improving your immunity.",hot yoga / bikram,,65,55,expect body motion temperature 95 f 105 f skin pore warm muscle cleanse deeper layer think whole body detoxify inside help blood circulation well strength flexibility improve immunity,0.41981465,0.019117681,0.018372286,0.018496485,0.52419895,4,Core and Strength
136,HOT 26 & 2 - 60 MIN,"Go With the  Flow
This is our most popular class, and offers practitioners the opportunity to explore a wide range of poses and techniques. Together with the instructor’s guidance, you will be able to challenge yourself and reach all new heights.",hot yoga / bikram,,41,36,popular practitioners opportunity explore wide range techniques together instructor guidance able challenge reach heights,0.029897578,0.37137902,0.028787691,0.5412293,0.028706383,3,Stretch and Release
137,HOT 26 & 2 - 75 MIN,"Mind Over Matter
Ready to roll out your mat and get started with yoga poses? This class has a little bit of everything: meditation, dynamic flow, stretches and restoration. If you are looking for a class that offers active and restful poses, this is the one for you!",hot yoga / bikram,,48,43,mind matter ready roll mat little bite everything dynamic stretch restoration look active restful,0.02872144,0.028889108,0.029054252,0.8844606,0.028874584,3,Stretch and Release
138,HOT 26 & 2 - 90 MIN,"Body & Mind
This class is a great way to dive into your wellness journey. We often find that those who enroll in our classes are surprised and excited by their own capacities, and through this class you will discover a whole new world that yoga has to offer.",hot yoga / bikram,,49,44,body mind great way dive wellness journey often find enroll surprise excite capacities discover whole world,0.028881285,0.547736,0.029190017,0.3642927,0.029899985,1,Stress Relief/Breath Techniques
139,ORIGINAL HOT YOGA,"This is a series of twenty-six yoga postures and two breathing exercises designed to provide a challenging and effective yoga experience. We offer three different options — 90 minutes, 75 minutes, or 60 minutes — where you will work every muscle, tendon, ligament, joint and internal organ in your body. This class is suitable for all levels.",hot yoga / bikram,,57,49,twenty six two breathe design challenge effective experience three different options 90 minutes 75 minutes 60 minutes muscle tendon ligament joint internal organ body suitable,0.015841037,0.47893864,0.015431797,0.015706236,0.47408226,1,Stress Relief/Breath Techniques
140,CLASSIC 26+2 HOT YOGA,"Original hot yoga sequence designed for beginners, perfect for veterans, and valuable for all even if you’ve never practiced yoga before. Our original hot yoga series offers 26 postures and 2 breathing exercises in a heated room. Build your strength, flexibility, focus, and discipline. And get your sweat on! (Heated)",hot yoga / bikram,,50,42,original sequence design beginners perfect veterans valuable never original 26 2 breathe heat build strength flexibility focus discipline sweat heat,0.48830172,0.014776502,0.01459545,0.014527993,0.46779835,0,Balance and Alignment
141,Iyengar,"Based on the principles of B.K.S. Iyengar, this class emphasizes attention to detail and precise alignment of postures. Poses are held longer and the use of props is encouraged to modify poses, if needed. Highly therapeutic, this technique helps to refine your poses while it trains the mind to remain alert, focused and composed.",iyengar,,54,44,base principles b k emphasize attention detail precise alignment hold longer use prop encourage modify need highly therapeutic technique help refine train mind remain alert focus compose,0.012799666,0.01269376,0.101974055,0.6587194,0.2138131,3,Stretch and Release
142,IYENGAR Level II & Up (90min),"After having learned the fundamentals of Iyengar Yoga, this faster paced, mixed level class encourages students to cultivate a consistent, personalized, and informed practice. This class introduces students to a range of poses including forward and back extensions as well as twisting postures and head balance. Level II into Level III deepens the students’ awareness and experience of the more subtle and profound aspects and effects of asana. Having attained a level of stability and ease, students may hold asanas for longer periods of time, learn variations and begin the journey to reflection and meditation in asana. At this level, students are strongly encouraged to practice at home regularly so that their personal understanding of yogic postures begins to fuel their understanding of refinements taught in class.
Class will rotate each week of the month: First week: Standing asanas, Second week: Seated Twists and Forward Bends, Third week: Backbends and Fourth week: Restorative/Pranayama
An established lineage, the Iyengar method allows you to experience and envision longevity in your practice, as your body incrementally builds and refines sensitivity, strength, and stamina from the surface to the core.",iyengar,,186,129,fundamentals faster pace mix encourage cultivate consistent personalize inform introduce range include forward back extensions well twist head balance ii iii deepen awareness experience subtle profound aspects effect attain stability ease hold asanas longer periods variations journey reflection strongly encourage home regularly personal understand yogic fuel understand refinements rotate week month first week stand asanas second week seat twist forward bend third week backbends fourth week restorative establish lineage method allow experience envision longevity body incrementally build refine sensitivity strength stamina surface core,0.47369623,0.12238916,0.33430085,0.0063770404,0.063236706,0,Balance and Alignment
143,In Studio Community Class: Iyengar Style Yoga,"Iyengar style yoga class for all levels. The class will focus on basics of foundational poses to reinvigorate the body and mind.
With Kay’s guidance, students will learn how to modify or adjust poses depending on their needs and abilities. This class is appropriate for any student who wants to understand the fundamentals of Yoga and how to develop sound posture while strengthening and releasing the body. Props are utilized in these classes.",iyengar,community,73,57,focus basics foundational reinvigorate body mind kay guidance modify adjust depend need abilities appropriate want understand fundamentals develop sound strengthen release body prop utilize,0.01570386,0.015601613,0.11472004,0.8384056,0.015568932,3,Stretch and Release
144,Iyengar yoga,"Iyengar yoga is a type of Hatha yoga based in the teachings of B.K.S. Iyengar. It focuses on proper posture helping us to know how to practice in a safe and stable way, preventing injuries.",iyengar,,35,30,type base b k focus proper help us know safe stable way prevent injuries,0.022310957,0.6023213,0.33016285,0.02265138,0.022553481,1,Stress Relief/Breath Techniques
145,IYENGAR YOGA,"Profound, intelligent, and transformative, Iyengar Yoga is for every age, body type, and fitness level. Iyengar Yoga provides practical tools to create and maintain bodily health and vitality, mental clarity, emotional serenity, and spiritual well-being. Developed by B.K.S. Iyengar during his more than 75 years of teaching, Iyengar Yoga is grounded in the ancient Indian tradition and philosophy of Patanjali’s Yoga Sutras.

Our teachers are rigorously trained and dedicated. Our classes focus on strength and stamina, flexibility and balance, concentration and meditation in action – our method is a pathway to complete alignment.

WHAT IYENGAR YOGA OFFERS
A safe, systematic and intelligent progression of study to develop each student’s skills and abilities, within each class and from class to class.
Certified teachers, highly-qualified and rigorously-trained, with a deep commitment to excellence in teaching.
A highly-developed teaching methodology including clear demonstration of the postures, precise use of language and specific instructions to develop students’ understanding and intelligent action in practice.
Sequencing of the postures that helps students develop strength and flexibility, stamina and concentration, and correct body alignment.
Individual correction and adjustment of students, when necessary.
The use of props such as blankets, blocks, belts and chairs to deepen learning and adjust postures to individual needs.",iyengar,,205,143,profound intelligent transformative age body type fitness practical tool create maintain bodily health vitality mental clarity emotional serenity spiritual well develop b k 75 years ground ancient indian tradition philosophy patanjali sutras rigorously train dedicate focus strength stamina flexibility balance concentration action method pathway complete alignment safe systematic intelligent progression study develop skills abilities within certify highly qualify rigorously train deep commitment excellence highly develop methodology include clear demonstration precise use language specific instructions develop understand intelligent action sequence help develop strength flexibility stamina concentration correct body alignment individual correction adjustment necessary use prop blanket block belt chair deepen adjust individual need,0.0055797957,0.26814976,0.005468474,0.3488616,0.3719404,4,Core and Strength
146,JIVAMUKTI Open (75min or 90min),"Move into advanced postures by injecting the mystical into the physical.  Ancient yogis understood that the body comes into the alchemy of movement when instilled with intention, purpose, and connection. Postures are skillfully introduced and sequenced with increasing intensity, infused with non-dogmatic Yoga philosophy, suggestions from one’s own voice as revealed in the chanting of ancient mantras, as well as the all-elusive sound of one’s own breath. Variations to optional advanced poses are offered so practitioners can work at their own level, moving through arm balances, deep hip openers, twists, chest expanding backbends and inversions.
Through a feeling of integration, greater stamina, and inner poise, expect increased vitality and greater clarity in all modes of self-expression.",jivamukti,,116,90,advance inject mystical physical ancient yogis understand body come alchemy instill intention purpose connection skillfully introduce sequence increase intensity infuse non dogmatic philosophy suggestions voice reveal chant ancient mantras well elusive sound breath variations optional advance practitioners arm balance deep hip openers twist chest expand backbends inversions feel integration greater stamina inner poise expect increase vitality greater clarity modes self expression,0.6244063,0.00899188,0.12003203,0.008857167,0.2377126,0,Balance and Alignment
147,JIVAMUKTI Align & Refine (90min),"Take your Jivamukti practice to the next level by expanding your physical and emotional acumen of foundational poses as they connect to advanced postures. Through explanations and demonstrations postures are broken down, allowing you to tap into the anatomical intelligence of your body, bringing the most advanced postures within your reach. The openings in the body will bring to the surface a sensitivity that will be harnessed through a guided meditation followed by deep relaxation.
Prepare to uncover the depth of your perception and discernment, as you explore new horizons in balance, strength and flexibility. Suited for intermediate to advanced practitioners.",jivamukti,align,101,73,next expand physical emotional acumen foundational connect advance explanations demonstrations break allow tap anatomical intelligence body bring advance within reach body bring surface sensitivity harness guide follow deep relaxation prepare uncover depth perception discernment explore horizons balance strength flexibility suit intermediate advance practitioners,0.5619619,0.073971406,0.346205,0.008957351,0.008904353,0,Balance and Alignment
148,Jivamukti yoga,"Jivamukti Yoga (Jivamukti Yoga) is a practice for calmness and self–confidence. It is a unique combination of physical exercises with spiritual practices, which include mantras, meditation, and the study of sacred texts. It allows you to learn to fully control your spiritual and physical condition.
The One Yoga NYC studio is a place where you can learn to master this practice, find a peace of mind, and give physical activity to your body.
The history of the practice
This style of yoga was developed by Americans David Life and Sharon Gannon in 1984 . The name consists of two words jiva (skt.) – living soul, mukti (skt.)–liberation. It is based on Pattabhi Joise's Ashtanga vinyasa, which Life and Gannon supplemented with new combinations of asanas; that smoothly flow into each other and resemble a dance.
Jivamukti yoga is based on five principles:
Ahimsa - non- harming , the practice of nonviolence towards others, including animals, therefore vegetarianism is its integral component
Bhakti - devotion to God, his knowledge and awareness
Dhyana - meditation, inner concentration to achieve spiritual insight
Nāda - centers on deep inner listening, chanting, and elevated music, an opportunity to learn to consciously hear and gain knowledge for the development of a healthy body and mind. The process of enlightenment begins with listerning.
Shastra - is the study of ancient yogic scriptures, chanting them in Sanskrit.
Sharon Gannon noted in an interview, Jivamukti yoga is a path to enlightenment through compassion for all living beings. This practice has found its fans all over the world. Many celebrities – Uma Thurman, Sarah Jessica Parker, Diane Keaton, Heidi Klum and many others have chosen this particular direction of yoga.
Features of the classes
We recommend Jivamukti Yoga NYC to those who do not want to limit themselves only to physical exercises, and intend to work on further self-development.
Each session includes both performing asanas and studying the scriptures (reading of fragments of ancient texts), chanting mantras, meditation. The exercises are
performed to music. The set of exercises is a smooth sequence of poses combined with breathing and flowing into each other. It is very effective and safe.
Jivamukti yoga practice helps to bring the body and the inner world of a person into harmony, having a restorative effect on the body:
It reveals the physical abilities of the body
Develops balance and increase flexibility, train muscles,
Relieves nervous tension
Helps with headaches, pressure loading, cardiovascular diseases
Relieves pain in the back and neck
Those who are already engaged in Jivamukti Yoga, note that this practice makes it possible to go beyond their own limitations, realizing that all limitations are illusory.
With consistent practice, they improved their ability to control their spiritual and physical condition.",jivamukti,,455,274,calmness self confidence unique combination physical spiritual include mantras study sacred texts allow fully control spiritual physical condition studio place master find peace mind give physical activity body history develop americans david life sharon gannon 1984 name consist two word jiva skt live soul mukti skt liberation base pattabhi joise life gannon supplement combinations asanas smoothly resemble dance base five principles ahimsa non harm nonviolence towards others include animals therefore vegetarianism integral component devotion god knowledge awareness dhyana inner concentration achieve spiritual insight n da center deep inner listen chant elevate music opportunity consciously hear gain knowledge development healthy body mind process enlightenment listerning shastra study ancient yogic scriptures chant sanskrit sharon gannon note interview path enlightenment compassion live find fan world celebrities uma thurman sarah jessica parker diane keaton heidi klum others choose particular direction feature recommend want limit physical intend self development session include perform asanas study scriptures read fragment ancient texts chant mantras perform music smooth sequence combine breathe effective safe help bring body inner world person harmony restorative effect body reveal physical abilities body develop balance increase flexibility train muscle relieve nervous tension help headaches pressure load cardiovascular diseases relieve pain back neck already engage note make possible beyond limitations realize limitations illusory consistent improve ability control spiritual physical condition,0.0030384816,0.4688942,0.28099117,0.039429646,0.20764646,1,Stress Relief/Breath Techniques
149,Live Music Karma Classes,"An affordable, $15 class accompanied by live tunes!  Classes feature local musicians and proceeds support our karma initiatives. Use the “Karma Love” credit to book this class for only $15. Classes can be booked using a membership or class credit but we encourage you to donate. Are you a musician interested in learning more about these Live Music Karma Classes?",karma,sound,60,53,affordable 15 accompany live tune feature local musicians proceed support initiatives use love credit book 15 book use membership credit encourage donate musician interest live music,0.025316207,0.02526125,0.6509792,0.02542929,0.273014,2,Deep Relaxation/Mind Practice
150,One Love Karma,"Our carefully sequenced, open-level practice places an emphasis on the alignment of breath
and movement to create a moving mediation. All proceeds will be donated to support the monthly organization of choice.",karma,,32,29,carefully sequence place emphasis alignment breath create mediation proceed donate support monthly organization choice,0.029034369,0.029044105,0.27741352,0.6345346,0.029973403,3,Stretch and Release
151,Karma Yoga,"Service is an essential element of spiritual practice. We provide the opportunity to serve the community, and help you understand how to contextualize the service you’re doing in terms of your deeper path. Remote and in-person options available!",karma,,38,33,service essential element spiritual opportunity serve community help understand contextualize service term deeper path remote person options available,0.5320735,0.366047,0.033697024,0.034552664,0.033629805,0,Balance and Alignment
152,Baby and me,"Stretch, bond, and breathe with your baby in this special yoga series designed for new mothers and infants (8 weeks to almost walking). Meet other moms and babies while you strengthen and support post-partum and sleep deprived bodies with specifically chosen asanas and sequences.
Every class will devote time for gentle hands-on yoga and massage for babies; aiding in their digestion and promoting the sleep-wake cycle. Bonding postures and playful songs are also explored. Dress comfortably and bring a receiving blanket for your little-one.",yoga for kids / family,,84,68,stretch bond breathe baby special design mother infants 8 weeks almost walk meet moms baby strengthen support post partum sleep deprive body specifically choose asanas sequence devote gentle hand massage baby aid digestion promote sleep wake cycle bond playful songs explore dress comfortably bring receive blanket little,0.016877044,0.14858966,0.017140646,0.8004894,0.016903216,3,Stretch and Release
